1,27803,Rosemont—La Petite-Patrie,-73.605104337545,45.5284652940216,116
2,27803,Rosemont—La Petite-Patrie,-73.6065433714253,45.5284935656258,116
3,27469,Le Sud-Ouest,-73.5575604483626,45.4904964768581,65
4,27469,Le Sud-Ouest,-73.55825497491,45.4902054748268,65
5,26643,Kirkland,-73.8974565723402,45.4445692526669,295
6,26643,Kirkland,-73.9007724348331,45.4433768799557,295
7,26801,Lachine,-73.6707022137869,45.43097795934,24
8,26801,Lachine,-73.6709015394798,45.4311319863279,24
9,26925,Le Sud-Ouest,-73.5652699014679,45.4857002952185,47
10,26925,Le Sud-Ouest,-73.5649839367409,45.485991018453,47
11,26929,Ville-Marie,-73.5282851920046,45.5169860749462,89
12,26929,Ville-Marie,-73.5272503429346,45.5172674367647,89
13,26767,Verdun,-73.5456484855004,45.4714969197741,63
14,26767,Verdun,-73.5462686050043,45.4711364611016,63
15,26665,Lachine,-73.6793512949609,45.4280853512518,23
16,26665,Lachine,-73.6790573996544,45.4280562071087,23
17,26775,Verdun,-73.5937474712563,45.4439018298719,66
18,26775,Verdun,-73.593033262251,45.4435828762067,66
19,26725,Le Sud-Ouest,-73.5651215936105,45.4861085498947,17
21,26726,Le Sud-Ouest,-73.5550157874232,45.4907680442053,26
22,26726,Le Sud-Ouest,-73.554682482245,45.4907397691452,26
23,26731,Le Sud-Ouest,-73.5846609092741,45.4780613713324,61
24,26731,Le Sud-Ouest,-73.585118788855,45.4776136271141,61
25,26732,Le Sud-Ouest,-73.5745123386595,45.47834037589,63
26,26732,Le Sud-Ouest,-73.5750425789242,45.4787671861091,63
27,26733,Le Sud-Ouest,-73.588897765605,45.4753764279598,79
28,26733,Le Sud-Ouest,-73.5880861040137,45.4757935061168,79
29,26778,Verdun,-73.5653673377257,45.4542408242057,106
30,26778,Verdun,-73.566047453578,45.4534112204475,106
31,26683,LaSalle,-73.5879912458938,45.4328248959739,34
32,26683,LaSalle,-73.5881790849078,45.4325549748409,34
33,26782,Verdun,-73.5620889779054,45.4602749795313,335
34,26782,Verdun,-73.5630459321285,45.4573925956644,335
35,26856,Saint-Laurent,-73.7713703161514,45.5018544891806,38
36,26856,Saint-Laurent,-73.7709669468693,45.5016614404965,38
37,26857,Pierrefonds-Roxboro,-73.7618623278354,45.5048710890528,33
38,26857,Pierrefonds-Roxboro,-73.7621710289764,45.5050723057081,33
39,26859,Pierrefonds-Roxboro,-73.7651563759702,45.507320060831,68
40,26859,Pierrefonds-Roxboro,-73.7645199573225,45.5069380234494,68
41,26861,Pierrefonds-Roxboro,-73.7591984446391,45.5075057851125,45
42,26861,Pierrefonds-Roxboro,-73.7593961216138,45.507885969748,45
43,26680,LaSalle,-73.6271413469384,45.4499904244503,23
44,26680,LaSalle,-73.6268955026639,45.4498775864972,23
45,26874,Lachine,-73.6937702452907,45.4419710221719,251
46,26874,Lachine,-73.694447162788,45.4441500347077,251
47,26875,Lachine,-73.6838699844228,45.4327139476559,32
48,26875,Lachine,-73.6835786960567,45.4325114990467,32
49,26877,Ahuntsic-Cartierville,-73.6977740082373,45.54668095299,54
50,26877,Ahuntsic-Cartierville,-73.6972228252538,45.5463899090644,54
52,26878,Ahuntsic-Cartierville,-73.6972930723349,45.5467754575712,40
53,26930,Ville-Marie,-73.528076547437,45.5025523913759,65
54,26930,Ville-Marie,-73.5275539962858,45.5029286530227,65
55,26945,Ahuntsic-Cartierville,-73.6570365425591,45.5795526001082,67
56,26945,Ahuntsic-Cartierville,-73.6577762150794,45.5792512173329,67
57,26946,Montréal-Nord,-73.6425446752145,45.6029591507908,279
58,26946,Montréal-Nord,-73.6431131699057,45.6006244675703,279
59,26948,Rosemont—La Petite-Patrie,-73.5557237895244,45.5719232404527,376
60,26948,Rosemont—La Petite-Patrie,-73.555932278588,45.5688603790988,376
61,26645,Dollard-des-Ormeaux,-73.8374400115889,45.4716700939706,374
62,26645,Dollard-des-Ormeaux,-73.8412905934712,45.4696670195821,374
63,26647,Dollard-des-Ormeaux,-73.7802026532185,45.4944157513313,783
64,26647,Dollard-des-Ormeaux,-73.7886291377019,45.4906506959873,783
65,26931,Ville-Marie,-73.5947622959877,45.4981453663007,74
66,26931,Ville-Marie,-73.594956496392,45.4975158542301,74
68,26932,Ville-Marie,-73.5943852091827,45.4975296453861,75
69,26933,Ville-Marie,-73.5845532620447,45.5143464955328,235
70,26933,Ville-Marie,-73.5823696513557,45.5130623076372,235
71,26936,Ville-Marie,-73.5436687466234,45.5328213758905,35
72,26936,Ville-Marie,-73.5439107801298,45.5325579004285,35
73,26721,Le Sud-Ouest,-73.556060344327,45.4913576546506,13
74,26721,Le Sud-Ouest,-73.5561866785526,45.4912876746324,13
75,26722,Le Sud-Ouest,-73.5562052404462,45.4903980787706,12
76,26722,Le Sud-Ouest,-73.556329529846,45.4903325988139,12
77,26724,Le Sud-Ouest,-73.5641239259025,45.4860279482181,16
78,26724,Le Sud-Ouest,-73.5642866803659,45.4859430012857,16
79,26917,Ville-Marie,-73.5435265189943,45.5052848712233,21
80,26917,Ville-Marie,-73.5434827390782,45.5051005101297,21
81,26634,Anjou,-73.5742944210303,45.6031127367208,60
82,26634,Anjou,-73.5736338579745,45.6028299887697,60
83,26635,Anjou,-73.5830962859803,45.6069439853245,216
84,26635,Anjou,-73.5807332378832,45.6059353543199,216
85,26636,Ahuntsic-Cartierville,-73.6626951458264,45.5752399782704,69
86,26636,Ahuntsic-Cartierville,-73.6635362351771,45.5753005957402,69
87,26640,Dollard-des-Ormeaux,-73.8363662688523,45.4706481536979,67
