8,45.4311319863279,-73.6709015394798,26801,112,45.4311830256532,-73.6710701379485,26663
10,45.485991018453,-73.5649839367409,26925,19,45.4861085498947,-73.5651215936105,26725
18,45.4435828762067,-73.593033262251,26775,107,45.4435458785081,-73.592939629175,26753
19,45.4861085498947,-73.5651215936105,26725,283,45.4861816628614,-73.565199585615,26924
21,45.4907680442053,-73.5550157874232,26726,135,45.4903980787706,-73.5562052404462,26735
27,45.4753764279598,-73.588897765605,26733,142,45.4741731439339,-73.5909651708751,26739
29,45.4542408242057,-73.5653673377257,26778,110,45.4543260808197,-73.5652960929549,26754
30,45.4534112204475,-73.566047453578,26778,99,45.4532869908048,-73.5661342485877,26758
34,45.4573925956644,-73.5630459321285,26782,92,45.4573152644718,-73.563107603333,26755
36,45.5016614404965,-73.7709669468693,26856,300,45.5005316778343,-73.7694110377998,27047
40,45.5069380234494,-73.7645199573225,26859,157,45.507124253055,-73.7639138450494,26702
41,45.5075057851125,-73.7591984446391,26861,159,45.507885969748,-73.7593961216138,26863
42,45.507885969748,-73.7593961216138,26861,160,45.5075057851125,-73.7591984446391,26863
49,45.54668095299,-73.6977740082373,26877,52,45.5467754575712,-73.6972930723349,26878
54,45.5029286530227,-73.5275539962858,26930,152,45.5012083077285,-73.5265194850573,26790
61,45.4716700939706,-73.8374400115889,26645,184,45.4712023033386,-73.8369385633273,26841
65,45.4981453663007,-73.5947622959877,26931,68,45.4975296453861,-73.5943852091827,26932
73,45.4913576546506,-73.556060344327,26721,138,45.4927133540289,-73.5558905027451,26737
75,45.4903980787706,-73.5562052404462,26722,136,45.4907680442053,-73.5550157874232,26735
79,45.5052848712233,-73.5435265189943,26917,205,45.5051360582767,-73.5437070983521,26918
83,45.6069439853245,-73.5830962859803,26635,188,45.607339715694,-73.5827427750371,26960
86,45.5753005957402,-73.6635362351771,26636,113,45.5748103353274,-73.6646860462696,26880
90,45.4542294735229,-73.5649159961183,26744,124,45.4552575996427,-73.5633908138321,26976
93,45.4539797216915,-73.564196399976,26756,226,45.4538887173607,-73.5642487169993,27111
105,45.5279045288931,-73.7331518324794,26868,168,45.5267194040181,-73.7309549912542,26867
126,45.4647808505079,-73.5439392057493,26978,249,45.464854713627,-73.5439768595894,27145
127,45.560398889719,-73.6164969984902,26943,130,45.5604273790244,-73.6155573469758,26944
134,45.4936354012762,-73.551936530569,26785,153,45.495398251612,-73.5516162332766,26791
144,45.5039930939298,-73.589051438459,26786,145,45.5040482771992,-73.5892526908754,26787
162,45.5094127971521,-73.759803072293,26864,163,45.5094533052919,-73.7597568018827,26865
170,45.4480873994848,-73.5521984649383,26885,219,45.4487311782308,-73.5505424733531,27140
174,45.4455809026786,-73.8951639141224,26818,176,45.445752810983,-73.8937723412936,26819
177,45.5060715667926,-73.5431492227672,26912,182,45.5061253156796,-73.5430742719315,26914
178,45.5060605402515,-73.5430391580981,26912,179,45.5061253156796,-73.5430742719315,26913
179,45.5061253156796,-73.5430742719315,26913,181,45.5060715667926,-73.5431492227672,26914
192,45.459530769726,-73.9376656668174,26814,246,45.4601981912441,-73.9365362521293,27246
193,45.6867254204094,-73.5262100446623,26970,204,45.686791609656,-73.5259783427324,26969
194,45.6869587569968,-73.5261453195995,26970,196,45.686791609656,-73.5259783427324,26971
196,45.686791609656,-73.5259783427324,26971,203,45.6867254204094,-73.5262100446623,26969
198,45.6876815631024,-73.5194539274256,26972,199,45.6876392294391,-73.5197014405433,26973
202,45.6802889219047,-73.4911522969383,26968,269,45.6798305751534,-73.4902790821896,26708
222,45.4625753282954,-73.8561400071566,27019,223,45.4645867556532,-73.8522533996807,27020
231,45.4549976599631,-73.55931956103,27398,244,45.4484503978488,-73.561428995069,27397
232,45.4571984852044,-73.5579739493871,27398,257,45.4568598216618,-73.5564566589611,27399,260,45.4614305025261,-73.5564912703033,27400
249,45.464854713627,-73.5439768595894,27145,293,45.4658183216652,-73.5426592805963,27143
252,45.6051947781452,-73.5790876568837,27212,256,45.6048370368575,-73.5782602849918,27210
254,45.6048370368575,-73.5782602849918,27209,255,45.6051947781452,-73.5790876568837,27210
258,45.4571984852044,-73.5579739493871,27399,260,45.4614305025261,-73.5564912703033,27400
260,45.4614305025261,-73.5564912703033,27400,262,45.4613329379218,-73.5554318882494,27401
271,45.5862568108569,-73.5952432529815,26984,289,45.5863252152328,-73.5953303856565,26956
