45.49782,-73.59943,Ville-Marie,p103
45.605305,-73.524803,Mercier-Hochelaga-Maisonneuve,p104
45.603985,-73.525635,Mercier-Hochelaga-Maisonneuve,p105
45.562159,-73.555176,Rosemont-La Petite-Patrie,p106
45.565631,-73.556987,Rosemont-La Petite-Patrie,p107
45.540254,-73.583773,Rosemont-La Petite-Patrie,p108
45.540444,-73.583371,Rosemont-La Petite-Patrie,p109
45.504324,-73.587113,Ville-Marie,p110
45.541554,-73.579989,Rosemont-La Petite-Patrie,p111
45.499809,-73.594049,Ville-Marie,p112
45.592613,-73.510325,Mercier-Hochelaga-Maisonneuve,p113
45.558626,-73.538731,Mercier-Hochelaga-Maisonneuve,p114
45.558564,-73.538772,Mercier-Hochelaga-Maisonneuve,p115
45.559298,-73.538406,Mercier-Hochelaga-Maisonneuve,p116
45.559229,-73.538454,Mercier-Hochelaga-Maisonneuve,p117
45.559365,-73.538367,Mercier-Hochelaga-Maisonneuve,p118
45.559957,-73.538103,Mercier-Hochelaga-Maisonneuve,p119
45.524534,-73.556199,Ville-Marie,p120
45.524491,-73.556248,Ville-Marie,p121
45.525085,-73.555608,Ville-Marie,p122
45.525019,-73.555718,Ville-Marie,p123
45.524434,-73.556401,Ville-Marie,p124
45.556351,-73.539927,Mercier-Hochelaga-Maisonneuve,p125
45.556283,-73.539974,Mercier-Hochelaga-Maisonneuve,p126
45.585555,-73.53185,Mercier-Hochelaga-Maisonneuve,p127
45.584478,-73.528424,Mercier-Hochelaga-Maisonneuve,p128
45.586914,-73.535802,Mercier-Hochelaga-Maisonneuve,p129
45.587535,-73.537618,Mercier-Hochelaga-Maisonneuve,p130
45.588873,-73.536305,Mercier-Hochelaga-Maisonneuve,p131
45.497812,-73.599383,Ville-Marie,p132
45.557771,-73.539174,Mercier-Hochelaga-Maisonneuve,p133
45.557168,-73.539493,Mercier-Hochelaga-Maisonneuve,p134
45.557892,-73.539095,Mercier-Hochelaga-Maisonneuve,p135
45.557827,-73.539137,Mercier-Hochelaga-Maisonneuve,p136
45.558498,-73.538817,Mercier-Hochelaga-Maisonneuve,p137
45.556415,-73.539883,Mercier-Hochelaga-Maisonneuve,p138
45.557104,-73.539535,Mercier-Hochelaga-Maisonneuve,p139
45.557035,-73.539581,Mercier-Hochelaga-Maisonneuve,p140
45.544824,-73.53573,Mercier-Hochelaga-Maisonneuve,p141
45.54549,-73.535408,Mercier-Hochelaga-Maisonneuve,p142
45.507603,-73.543032,Ville-Marie,p143
45.60657,-73.508773,Mercier-Hochelaga-Maisonneuve,p144
45.607281,-73.508698,Mercier-Hochelaga-Maisonneuve,p145
45.528423,-73.606744,Rosemont-La Petite-Patrie,p146
45.5292,-73.610565,Rosemont-La Petite-Patrie,p147
45.550201,-73.532402,Mercier-Hochelaga-Maisonneuve,p148
45.552478,-73.531002,Mercier-Hochelaga-Maisonneuve,p149
45.596824,-73.509036,Mercier-Hochelaga-Maisonneuve,p150
45.517283,-73.525842,Ville-Marie,p151
45.497978,-73.51987,Ville-Marie,p152
45.514959,-73.584896,Le Plateau-Mont-Royal,p153
45.516165,-73.583672,Le Plateau-Mont-Royal,p154
45.545896,-73.621218,Villeray-Saint-Michel-Parc-Extension,p155
45.54766,-73.625061,Villeray-Saint-Michel-Parc-Extension,p156
45.595229,-73.508246,Mercier-Hochelaga-Maisonneuve,p157
45.567635,-73.562734,Rosemont-La Petite-Patrie,p158
45.533744,-73.591871,Rosemont-La Petite-Patrie,p159
45.538304,-73.58654,Rosemont-La Petite-Patrie,p160
45.566536,-73.568231,Rosemont-La Petite-Patrie,p161
45.497793,-73.600514,Ville-Marie,p162
45.555679,-73.540299,Mercier-Hochelaga-Maisonneuve,p163
45.555602,-73.540276,Mercier-Hochelaga-Maisonneuve,p164
45.597138,-73.510345,Mercier-Hochelaga-Maisonneuve,p165
45.606917,-73.509652,Mercier-Hochelaga-Maisonneuve,p166
45.563297,-73.618954,Villeray-Saint-Michel-Parc-Extension,p167
45.514738,-73.585402,Ville-Marie,p168
45.51191,-73.579518,Ville-Marie,p169
45.541953,-73.537574,Mercier-Hochelaga-Maisonneuve,p170
45.610248,-73.508811,Mercier-Hochelaga-Maisonneuve,p171
45.5601,-73.554672,Rosemont-La Petite-Patrie,p172
45.561092,-73.554724,Rosemont-La Petite-Patrie,p173
45.60208,-73.51061,Mercier-Hochelaga-Maisonneuve,p174
45.531482,-73.594694,Rosemont-La Petite-Patrie,p175
45.532102,-73.596044,Rosemont-La Petite-Patrie,p176
45.515209,-73.581005,Le Plateau-Mont-Royal,p177
45.51627,-73.583331,Le Plateau-Mont-Royal,p178
45.515769,-73.580488,Le Plateau-Mont-Royal,p179
45.560803,-73.542937,Mercier-Hochelaga-Maisonneuve,p180
45.561437,-73.542538,Mercier-Hochelaga-Maisonneuve,p181
45.528288,-73.606807,Rosemont-La Petite-Patrie,p182
45.528569,-73.607214,Rosemont-La Petite-Patrie,p183
45.545903,-73.598997,Rosemont-La Petite-Patrie,p184
45.547507,-73.602455,Rosemont-La Petite-Patrie,p185
45.555881,-73.603291,Villeray-Saint-Michel-Parc-Extension,p186
45.55689,-73.605597,Villeray-Saint-Michel-Parc-Extension,p187
45.557902,-73.607897,Villeray-Saint-Michel-Parc-Extension,p188
45.558897,-73.610197,Villeray-Saint-Michel-Parc-Extension,p189
45.553704,-73.593498,Rosemont-La Petite-Patrie,p190
45.553963,-73.594361,Rosemont-La Petite-Patrie,p191
45.554223,-73.595224,Rosemont-La Petite-Patrie,p192
45.572565,-73.533785,Mercier-Hochelaga-Maisonneuve,p193
45.573158,-73.533386,Mercier-Hochelaga-Maisonneuve,p194
45.55194,-73.593807,Rosemont-La Petite-Patrie,p195
45.553552,-73.597272,Rosemont-La Petite-Patrie,p196
45.53892,-73.540231,Mercier-Hochelaga-Maisonneuve,p197
45.539171,-73.541155,Mercier-Hochelaga-Maisonneuve,p198
45.539762,-73.61696,Villeray-Saint-Michel-Parc-Extension,p199
45.540613,-73.619883,Villeray-Saint-Michel-Parc-Extension,p200
45.506,-73.558793,Ville-Marie,p201
45.5062,-73.55923,Ville-Marie,p202
45.506913,-73.560858,Ville-Marie,p203
45.507654,-73.562492,Ville-Marie,p204
45.50674,-73.560484,Ville-Marie,p205
45.507742,-73.562652,Ville-Marie,p206
45.508727,-73.56482,Ville-Marie,p207
45.509424,-73.566308,Ville-Marie,p208
45.50983,-73.567168,Ville-Marie,p209
45.51772,-73.573974,Le Plateau-Mont-Royal,p210
45.518603,-73.575903,Le Plateau-Mont-Royal,p211
45.519232,-73.577281,Le Plateau-Mont-Royal,p212
45.520277,-73.579566,Le Plateau-Mont-Royal,p213
45.521377,-73.581974,Le Plateau-Mont-Royal,p214
45.594333,-73.517704,Mercier-Hochelaga-Maisonneuve,p215
45.59441,-73.517955,Mercier-Hochelaga-Maisonneuve,p216
45.592398,-73.511314,Mercier-Hochelaga-Maisonneuve,p217
45.592699,-73.512299,Mercier-Hochelaga-Maisonneuve,p218
45.592967,-73.513185,Mercier-Hochelaga-Maisonneuve,p219
45.576298,-73.547163,Mercier-Hochelaga-Maisonneuve,p220
45.577319,-73.550227,Mercier-Hochelaga-Maisonneuve,p221
45.576252,-73.547022,Mercier-Hochelaga-Maisonneuve,p222
45.575872,-73.54588,Mercier-Hochelaga-Maisonneuve,p223
45.575613,-73.545106,Mercier-Hochelaga-Maisonneuve,p224
45.575319,-73.544216,Mercier-Hochelaga-Maisonneuve,p225
45.574995,-73.543243,Mercier-Hochelaga-Maisonneuve,p226
45.574651,-73.542213,Mercier-Hochelaga-Maisonneuve,p227
45.573748,-73.539493,Mercier-Hochelaga-Maisonneuve,p228
45.573317,-73.538198,Mercier-Hochelaga-Maisonneuve,p229
45.572655,-73.536206,Mercier-Hochelaga-Maisonneuve,p230
45.572287,-73.535103,Mercier-Hochelaga-Maisonneuve,p231
45.524629,-73.586425,Le Plateau-Mont-Royal,p232
45.524886,-73.586189,Le Plateau-Mont-Royal,p233
45.531332,-73.557058,Ville-Marie,p234
45.531748,-73.556662,Ville-Marie,p235
45.53216,-73.556284,Ville-Marie,p236
45.604592,-73.527692,Mercier-Hochelaga-Maisonneuve,p237
45.60524,-73.527307,Mercier-Hochelaga-Maisonneuve,p238
45.518307,-73.572304,Le Plateau-Mont-Royal,p239
45.518886,-73.57178,Le Plateau-Mont-Royal,p240
45.590341,-73.51975,Mercier-Hochelaga-Maisonneuve,p241
45.590938,-73.519463,Mercier-Hochelaga-Maisonneuve,p242
45.582641,-73.621773,Villeray-Saint-Michel-Parc-Extension,p243
45.58354,-73.62383,Villeray-Saint-Michel-Parc-Extension,p244
45.582366,-73.621144,Villeray-Saint-Michel-Parc-Extension,p245
45.581172,-73.61843,Villeray-Saint-Michel-Parc-Extension,p246
45.581363,-73.618858,Villeray-Saint-Michel-Parc-Extension,p247
45.579711,-73.615088,Villeray-Saint-Michel-Parc-Extension,p248
45.580017,-73.615789,Villeray-Saint-Michel-Parc-Extension,p249
45.582051,-73.620433,Villeray-Saint-Michel-Parc-Extension,p250
45.582483,-73.620044,Villeray-Saint-Michel-Parc-Extension,p251
45.511849,-73.553051,Ville-Marie,p252
45.512106,-73.553819,Ville-Marie,p253
45.504983,-73.573475,Ville-Marie,p254
45.506411,-73.576443,Ville-Marie,p255
45.523241,-73.558111,Ville-Marie,p256
45.523899,-73.557495,Ville-Marie,p257
45.539294,-73.620657,Villeray-Saint-Michel-Parc-Extension,p258
45.540092,-73.623407,Villeray-Saint-Michel-Parc-Extension,p259
45.610003,-73.543127,Mercier-Hochelaga-Maisonneuve,p260
45.610577,-73.54285,Mercier-Hochelaga-Maisonneuve,p261
45.536097,-73.612019,Rosemont-La Petite-Patrie,p262
45.536456,-73.612811,Rosemont-La Petite-Patrie,p263
45.517334,-73.585688,Le Plateau-Mont-Royal,p264
45.51835,-73.587944,Le Plateau-Mont-Royal,p265
45.540574,-73.596555,Rosemont-La Petite-Patrie,p266
45.541156,-73.596047,Rosemont-La Petite-Patrie,p267
45.562481,-73.572209,Rosemont-La Petite-Patrie,p268
45.562529,-73.572322,Rosemont-La Petite-Patrie,p269
45.52615,-73.603251,Le Plateau-Mont-Royal,p270
45.525539,-73.60383,Le Plateau-Mont-Royal,p271
45.520951,-73.597193,Le Plateau-Mont-Royal,p272
45.521889,-73.599316,Le Plateau-Mont-Royal,p273
45.521122,-73.597036,Le Plateau-Mont-Royal,p274
45.521788,-73.596432,Le Plateau-Mont-Royal,p275
45.521473,-73.596722,Le Plateau-Mont-Royal,p276
45.534371,-73.555883,Ville-Marie,p277
45.534802,-73.55552,Ville-Marie,p278
45.563723,-73.549247,Mercier-Hochelaga-Maisonneuve,p279
45.564267,-73.550908,Mercier-Hochelaga-Maisonneuve,p280
45.524184,-73.586841,Le Plateau-Mont-Royal,p281
45.579222,-73.614608,Villeray-Saint-Michel-Parc-Extension,p282
45.579382,-73.615348,Villeray-Saint-Michel-Parc-Extension,p283
45.559234,-73.532959,Mercier-Hochelaga-Maisonneuve,p284
45.559909,-73.532504,Mercier-Hochelaga-Maisonneuve,p285
45.558604,-73.531051,Mercier-Hochelaga-Maisonneuve,p286
45.559284,-73.530588,Mercier-Hochelaga-Maisonneuve,p287
45.537523,-73.615169,Villeray-Saint-Michel-Parc-Extension,p288
45.538446,-73.617724,Villeray-Saint-Michel-Parc-Extension,p289
45.516578,-73.559957,Ville-Marie,p290
45.517036,-73.559553,Ville-Marie,p291
45.531777,-73.597805,Rosemont-La Petite-Patrie,p292
45.533329,-73.601207,Rosemont-La Petite-Patrie,p293
45.550686,-73.577012,Rosemont-La Petite-Patrie,p294
45.551406,-73.579424,Rosemont-La Petite-Patrie,p295
45.549277,-73.564424,Rosemont-La Petite-Patrie,p296
45.549783,-73.564033,Rosemont-La Petite-Patrie,p297
45.547944,-73.56523,Rosemont-La Petite-Patrie,p298
45.548546,-73.564869,Rosemont-La Petite-Patrie,p299
45.548644,-73.564811,Rosemont-La Petite-Patrie,p300
45.521409,-73.595566,Le Plateau-Mont-Royal,p301
45.519535,-73.591127,Le Plateau-Mont-Royal,p302
45.520372,-73.593073,Le Plateau-Mont-Royal,p303
45.521467,-73.589347,Le Plateau-Mont-Royal,p304
45.520938,-73.589828,Le Plateau-Mont-Royal,p305
45.540131,-73.60916,Rosemont-La Petite-Patrie,p306
45.541677,-73.612641,Rosemont-La Petite-Patrie,p307
45.549152,-73.627108,Villeray-Saint-Michel-Parc-Extension,p308
45.550208,-73.629403,Villeray-Saint-Michel-Parc-Extension,p309
45.538513,-73.574205,Le Plateau-Mont-Royal,p310
45.539107,-73.573647,Le Plateau-Mont-Royal,p311
45.49458,-73.580553,Ville-Marie,p312
45.493579,-73.581724,Ville-Marie,p313
45.493107,-73.58228,Ville-Marie,p314
45.49169,-73.583939,Ville-Marie,p315
45.490885,-73.584888,Ville-Marie,p316
45.531514,-73.575906,Le Plateau-Mont-Royal,p317
45.531722,-73.576347,Le Plateau-Mont-Royal,p318
45.530656,-73.57405,Le Plateau-Mont-Royal,p319
45.531297,-73.575436,Le Plateau-Mont-Royal,p320
45.53045,-73.573587,Le Plateau-Mont-Royal,p321
45.530233,-73.573136,Le Plateau-Mont-Royal,p322
45.541721,-73.579715,Rosemont-La Petite-Patrie,p323
45.541989,-73.57984,Rosemont-La Petite-Patrie,p324
45.580025,-73.544843,Mercier-Hochelaga-Maisonneuve,p325
45.580332,-73.545763,Mercier-Hochelaga-Maisonneuve,p326
45.569261,-73.566164,Rosemont-La Petite-Patrie,p327
45.569881,-73.565611,Rosemont-La Petite-Patrie,p328
45.529407,-73.571355,Le Plateau-Mont-Royal,p329
45.529151,-73.570801,Le Plateau-Mont-Royal,p330
45.591627,-73.528021,Mercier-Hochelaga-Maisonneuve,p331
